id,text
1901910424351899944,"Udah percaya sama lu, langganan ngga pernah telat kenapa pas gua kerja malah lu ganggu sih !!! Tolong lah kerjasamanya!! Anj
Internet diputus! Ngelag !! Anjj !!!! 
@IndiHome @IndiHomeCare"
1901909781943845100,@bluubilla akibat semalam ngeluh' di sini kalo sinyal jelek kali bub 😓😓😓😓😓 tapi emg aga sering sinyal indihome di tempat ku jelek bub 😓😓🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻😇😇😇😇
1901908953795371160,"@ohmlaftpk dr kmrin indihome rep tweet ku terus bub,,, sepertinya indihome ingin berteman dengan ku 😘😘😘😘😘😘🫰🏻🫰🏻🫰🏻🫰🏻"
1901908826175222259,"@zoxar @ShopeeCare @ShopeePay_ID @IndiHome @ShopeeID Hai kak, untuk cek keluhan dan kendalanya silahkan whatsapp kami di bawah ini.
https://t.co/W34cJw1Q2H

Tks""Auliya"
1901908766926557526,"@hirnmel Waduh😭
Kalo sekarang, gimana Kak? Jaringan IndiHome &amp; Telkomselnya udah lancar kan? -Indah"
1901908766821331407,@ShopeeCare @ShopeePay_ID @IndiHome @ShopeeID Lebih baik aplikasi Shopeepay bisa diduplikat saja daripada saya bawa 2 HP atau capek login logout shopeepay.
1901908689088397688,"@disdeesa ih aku pdhl bub, iseng aja ngetweet karna semalem sinyal jelek bgt hikshiks, gk nyangka indihome masuk circle ku 😭😭😭😭😭😭😭"
1901908053383164395,"@IndiHomeCare @IndiHome Cek DM bos,modem di bawa sales sampai sekarang gak d pasang"
1901907837959426176,"@ramsus19 @ramsus19 Maaf ya, Kak Ramsus. Jika sudah coba saran yang diberikan tapi masih ga bisa login IndiHome di aplikasi MyTelkomselnya, mohon infokan dulu nomor internetnya ke DM biar dicek lebih lanjut ya. Sertakan juga atas nama dan alamat email/nomor HP verifikasi login yang Kakak… https://t.co/hwAHbhFTdi"
1901906176306282985,"@justeurel @ciorawr @justeurel Tetap selalu waspada dengan akun palsu ya, Kak Aurel. Untuk kendala IndiHome yang Kakak alami, Kakak bisa infokan nomor internet sama atas nama pemiliknya ke DM kami biar dibantu penanganan lebih lanjut ya 😊 -Rai"
1901902826630271215,@narawiturlove ada aku anjayy WKWKWKWKW ITU DI REP INDIHOME WKWKWKW
1901902383116075341,@admkukuh @IndiHomeCare @IndiHome migrasi ke paket mana bro? jitu kah?
1901901680402395213,@IndiHomeCare cek dm indihome
1901901457844216187,@zoxar @ShopeePay_ID @IndiHome @ShopeeID @ShopeeCare Dari tadi siang juga gini terus mau bayar tagihan spaylater. Gak bisa bayangin kalo ini hari terakhir bayar tagihan. bisa² kena denda. https://t.co/2Sm8syPFCz
1901901237316137167,"@njenolovies @njenolovies Halo, maafin ya Kak Sha dan Joan infoin jarak yang terlalu jauh atau udah lebih dari batas FUP bisa menjadi penyebab koneksi lambatnya. Ayo infokan nomor IndiHome juga atas nama ke DM biar dicek :) -Joan"
1901900860751528259,"@narawiturlove @narawiturlove Lancar terus dong pastinya sampai nanti malem dan seterusnya hihi makasih udah pake IndiHome, sehat selalu Kak🥰 -Joan"
